sub_num,case_nm,target,d_c7
16,AB,Close,0.020855
16,AB,Close,0.017638
16,AB,Close,0.026804
16,AB,Close,0.022599
16,AB,Close,0.007975
16,AB,Close,0.010577
16,AB,Close,0.019426
16,AB,Close,0.013479
16,AB,Close,0.046676
16,AB,Close,0.018943
16,EP,Close,0.036713
16,EP,Close,0.054401
16,EP,Close,0.027498
16,EP,Close,0.029448
16,EP,Close,0.026638
16,EP,Close,0.050321
16,EP,Close,0.020739
16,EP,Close,0.045378
16,EP,Close,0.033002
16,EP,Close,0.10272
16,TS,Close,0.042674
16,TS,Close,0.056488
16,TS,Close,0.016473
16,TS,Close,0.056452
16,TS,Close,0.036464
16,TS,Close,0.060555
16,TS,Close,0.041094
16,TS,Close,0.070793
16,TS,Close,0.071801
16,TS,Close,0.034557
16,JS,Close,0.11084
16,JS,Close,0.089881
16,JS,Close,0.013209
16,JS,Close,0.10845
16,JS,Close,0.21686
16,JS,Close,0.063595
16,JS,Close,0.1132
16,JS,Close,0.12618
16,JS,Close,0.058201
16,JS,Close,0.024056
16,AB,Mid,0.084828
16,AB,Mid,0.060787
16,AB,Mid,0.1032
16,AB,Mid,0.069925
16,AB,Mid,0.068791
16,AB,Mid,0.084322
16,AB,Mid,0.079015
16,AB,Mid,0.094136
16,AB,Mid,0.05632
16,AB,Mid,0.099222
16,EP,Mid,0.055727
16,EP,Mid,0.071383
16,EP,Mid,0.029378
16,EP,Mid,0.10984
16,EP,Mid,0.10312
16,EP,Mid,0.092356
16,EP,Mid,0.1161
16,EP,Mid,0.123
16,EP,Mid,0.14281
16,EP,Mid,0.087329
16,TS,Mid,0.095254
16,TS,Mid,0.12633
16,TS,Mid,0.079379
16,TS,Mid,0.11135
16,TS,Mid,0.11501
16,TS,Mid,0.11108
16,TS,Mid,0.048509
16,TS,Mid,0.093781
16,TS,Mid,0.078292
16,TS,Mid,0.18397
16,JS,Mid,0.13829
16,JS,Mid,0.097719
16,JS,Mid,0.049965
16,JS,Mid,0.072739
16,JS,Mid,0.014594
16,JS,Mid,0.12552
16,JS,Mid,0.026032
16,JS,Mid,0.11113
16,JS,Mid,0.010242
16,JS,Mid,0.1035
16,AB,Far,0.2439
16,AB,Far,0.26169
16,AB,Far,0.24269
16,AB,Far,0.26058
16,AB,Far,0.20865
16,AB,Far,0.23479
16,AB,Far,0.21631
16,AB,Far,0.25918
16,AB,Far,0.24524
16,AB,Far,0.23081
16,EP,Far,0.23484
16,EP,Far,0.28679
16,EP,Far,0.22504
16,EP,Far,0.2763
16,EP,Far,0.25078
16,EP,Far,0.2627
16,EP,Far,0.26852
16,EP,Far,0.19233
16,EP,Far,0.25191
16,EP,Far,0.26497
16,TS,Far,0.29795
16,TS,Far,0.25673
16,TS,Far,0.29194
16,TS,Far,0.26965
16,TS,Far,0.22171
16,TS,Far,0.2855
16,TS,Far,0.26793
16,TS,Far,0.25092
16,TS,Far,0.28042
16,TS,Far,0.28121
16,JS,Far,0.20885
16,JS,Far,0.22857
16,JS,Far,0.2529
16,JS,Far,0.22996
16,JS,Far,0.18911
16,JS,Far,0.21761
16,JS,Far,0.12432
16,JS,Far,0.25043
16,JS,Far,0.19458
16,JS,Far,0.26927
16,AB,High,0.034604
16,AB,High,0.0512
16,AB,High,0.054015
16,AB,High,0.030287
16,AB,High,0.074765
16,AB,High,0.021025
16,AB,High,0.012566
16,AB,High,0.021695
16,AB,High,0.021111
16,AB,High,0.017773
16,EP,High,0.061817
16,EP,High,0.033856
16,EP,High,0.040701
16,EP,High,0.076937
16,EP,High,0.038455
16,EP,High,0.04358
16,EP,High,0.030592
16,EP,High,0.03345
16,EP,High,0.019238
16,EP,High,0.040948
16,TS,High,0.049679
16,TS,High,0.027483
16,TS,High,0.043166
16,TS,High,0.063681
16,TS,High,0.048499
16,TS,High,0.03994
16,TS,High,0.05567
16,TS,High,0.03424
16,TS,High,0.028838
16,TS,High,0.055121
16,JS,High,0.016259
16,JS,High,0.10416
16,JS,High,0.075907
16,JS,High,0.11408
16,JS,High,0.036837
16,JS,High,0.080324
16,JS,High,0.044273
16,JS,High,0.045296
16,JS,High,0.08829
16,JS,High,0.10806
