sub_num,case_nm,target,d_sh
16,AB,Close,-0.0011985
16,AB,Close,-5.84E-05
16,AB,Close,0.0047631
16,AB,Close,-0.0017038
16,AB,Close,0.0055127
16,AB,Close,0.0016107
16,AB,Close,-0.0013557
16,AB,Close,0.0016487
16,AB,Close,0.00034689
16,AB,Close,7.44E-05
16,EP,Close,0.066583
16,EP,Close,0.037273
16,EP,Close,-0.001755
16,EP,Close,0.030451
16,EP,Close,0.020925
16,EP,Close,-0.0056433
16,EP,Close,0.055801
16,EP,Close,0.050084
16,EP,Close,0.036445
16,EP,Close,-0.0049002
16,TS,Close,0.037679
16,TS,Close,0.043155
16,TS,Close,0.070904
16,TS,Close,0.057322
16,TS,Close,0.073579
16,TS,Close,0.043916
16,TS,Close,0.046868
16,TS,Close,0.090692
16,TS,Close,0.010018
16,TS,Close,0.013139
16,JS,Close,0.00085619
16,JS,Close,0.022984
16,JS,Close,0.048497
16,JS,Close,-0.014119
16,JS,Close,-0.035945
16,JS,Close,0.013885
16,JS,Close,-0.0087445
16,JS,Close,-0.01664
16,JS,Close,0.045596
16,JS,Close,0.031544
16,AB,Mid,0.064744
16,AB,Mid,0.080097
16,AB,Mid,0.083891
16,AB,Mid,0.05326
16,AB,Mid,0.079873
16,AB,Mid,0.080565
16,AB,Mid,0.088843
16,AB,Mid,0.05364
16,AB,Mid,0.092902
16,AB,Mid,0.053302
16,EP,Mid,-0.0072473
16,EP,Mid,-0.0010773
16,EP,Mid,0.004979
16,EP,Mid,0.014338
16,EP,Mid,-0.019784
16,EP,Mid,0.010846
16,EP,Mid,-0.0018051
16,EP,Mid,0.0096113
16,EP,Mid,0.025434
16,EP,Mid,0.008376
16,TS,Mid,0.01263
16,TS,Mid,0.003531
16,TS,Mid,0.024867
16,TS,Mid,0.037537
16,TS,Mid,0.0088017
16,TS,Mid,-0.0041582
16,TS,Mid,-0.0041692
16,TS,Mid,0.038087
16,TS,Mid,0.017213
16,TS,Mid,0.010379
16,JS,Mid,-0.0028431
16,JS,Mid,-0.036217
16,JS,Mid,-0.013936
16,JS,Mid,-0.0019294
16,JS,Mid,0.019482
16,JS,Mid,-0.069679
16,JS,Mid,0.027249
16,JS,Mid,-0.065935
16,JS,Mid,0.034959
16,JS,Mid,-0.0064944
16,AB,Far,0.071957
16,AB,Far,0.091955
16,AB,Far,0.075416
16,AB,Far,0.076929
16,AB,Far,0.083557
16,AB,Far,0.073273
16,AB,Far,0.082958
16,AB,Far,0.062756
16,AB,Far,0.07873
16,AB,Far,0.081061
16,EP,Far,0.049149
16,EP,Far,0.1151
16,EP,Far,0.04741
16,EP,Far,0.059975
16,EP,Far,0.06574
16,EP,Far,0.080133
16,EP,Far,0.065786
16,EP,Far,-0.015416
16,EP,Far,0.075177
16,EP,Far,0.040837
16,TS,Far,0.06646
16,TS,Far,0.05465
16,TS,Far,0.030904
16,TS,Far,0.065769
16,TS,Far,0.027405
16,TS,Far,0.053397
16,TS,Far,0.055874
16,TS,Far,0.022636
16,TS,Far,0.029784
16,TS,Far,0.044739
16,JS,Far,0.056564
16,JS,Far,0.078936
16,JS,Far,0.01706
16,JS,Far,0.0037209
16,JS,Far,0.044195
16,JS,Far,0.0096709
16,JS,Far,0.019418
16,JS,Far,0.074723
16,JS,Far,0.03032
16,JS,Far,0.022385
16,AB,High,0.044285
16,AB,High,0.057924
16,AB,High,0.037323
16,AB,High,0.032738
16,AB,High,0.015095
16,AB,High,0.063923
16,AB,High,0.042009
16,AB,High,0.029032
16,AB,High,0.060935
16,AB,High,0.055248
16,EP,High,0.036651
16,EP,High,0.027071
16,EP,High,0.072545
16,EP,High,0.075756
16,EP,High,0.012704
16,EP,High,0.058137
16,EP,High,0.080012
16,EP,High,0.042732
16,EP,High,0.063201
16,EP,High,0.028937
16,TS,High,0.023969
16,TS,High,0.051955
16,TS,High,0.02601
16,TS,High,0.033569
16,TS,High,0.017839
16,TS,High,0.019658
16,TS,High,0.055662
16,TS,High,0.068451
16,TS,High,0.039279
16,TS,High,0.085372
16,JS,High,0.046954
16,JS,High,0.043642
16,JS,High,0.039084
16,JS,High,0.094539
16,JS,High,0.041774
16,JS,High,0.024831
16,JS,High,0.031324
16,JS,High,0.017293
16,JS,High,0.045236
16,JS,High,0.02615
