sub_num,case_nm,target,s_j
16,AB,Close,-2.0225
16,AB,Close,-2.0264
16,AB,Close,-1.9995
16,AB,Close,-1.8613
16,AB,Close,-1.9043
16,AB,Close,-1.9148
16,AB,Close,-1.9269
16,AB,Close,-1.9436
16,AB,Close,-1.8175
16,AB,Close,-2.0358
16,EP,Close,-2.9597
16,EP,Close,-1.5683
16,EP,Close,-1.8137
16,EP,Close,-1.7067
16,EP,Close,-1.9913
16,EP,Close,-2.2162
16,EP,Close,-2.698
16,EP,Close,-1.7509
16,EP,Close,-1.5809
16,EP,Close,-3.9196
16,TS,Close,-2.0414
16,TS,Close,-1.8673
16,TS,Close,-2.5326
16,TS,Close,-2.3238
16,TS,Close,-1.8869
16,TS,Close,-1.507
16,TS,Close,-1.6687
16,TS,Close,-2.1465
16,TS,Close,-2.6753
16,TS,Close,-2.6993
16,JS,Close,-3.0425
16,JS,Close,-2.1074
16,JS,Close,-1.538
16,JS,Close,-2.1353
16,JS,Close,-3.1966
16,JS,Close,-2.1386
16,JS,Close,-2.3831
16,JS,Close,-1.7952
16,JS,Close,-2.3269
16,JS,Close,-2.2099
16,AB,Mid,-1.8526
16,AB,Mid,-2.0595
16,AB,Mid,-1.8876
16,AB,Mid,-1.891
16,AB,Mid,-1.5773
16,AB,Mid,-1.5999
16,AB,Mid,-1.6986
16,AB,Mid,-1.4796
16,AB,Mid,-1.5825
16,AB,Mid,-1.9948
16,EP,Mid,-2.0388
16,EP,Mid,-2.9412
16,EP,Mid,-3.4073
16,EP,Mid,-2.7788
16,EP,Mid,-1.5618
16,EP,Mid,-1.7392
16,EP,Mid,-1.5332
16,EP,Mid,-1.6793
16,EP,Mid,-1.8102
16,EP,Mid,-1.9814
16,TS,Mid,-1.7311
16,TS,Mid,-1.7502
16,TS,Mid,-2.0836
16,TS,Mid,-2.7268
16,TS,Mid,-1.8291
16,TS,Mid,-2.1493
16,TS,Mid,-1.6055
16,TS,Mid,-6.1392
16,TS,Mid,-2.1641
16,TS,Mid,-1.8902
16,JS,Mid,-3.4283
16,JS,Mid,-2.2549
16,JS,Mid,-3.8028
16,JS,Mid,-3.1869
16,JS,Mid,-2.188
16,JS,Mid,-2.3013
16,JS,Mid,-2.8523
16,JS,Mid,-2.9693
16,JS,Mid,-2.6333
16,JS,Mid,-2.0446
16,AB,Far,-1.9152
16,AB,Far,-1.5039
16,AB,Far,-1.6967
16,AB,Far,-1.8225
16,AB,Far,-1.6829
16,AB,Far,-1.6442
16,AB,Far,-1.8141
16,AB,Far,-1.8064
16,AB,Far,-1.7783
16,AB,Far,-1.8682
16,EP,Far,-1.9056
16,EP,Far,-3.7622
16,EP,Far,-2.0762
16,EP,Far,-1.9096
16,EP,Far,-3.3027
16,EP,Far,-2.8748
16,EP,Far,-3.1453
16,EP,Far,-1.964
16,EP,Far,-2.8788
16,EP,Far,-1.9409
16,TS,Far,-3.352
16,TS,Far,-1.718
16,TS,Far,-3.3976
16,TS,Far,-1.8653
16,TS,Far,-1.7545
16,TS,Far,-1.6437
16,TS,Far,-1.9601
16,TS,Far,-1.7633
16,TS,Far,-2.3866
16,TS,Far,-1.7576
16,JS,Far,-2.3992
16,JS,Far,-1.915
16,JS,Far,-2.5628
16,JS,Far,-3.1108
16,JS,Far,-2.2203
16,JS,Far,-1.7158
16,JS,Far,-2.0383
16,JS,Far,-1.7156
16,JS,Far,-2.015
16,JS,Far,-1.8082
16,AB,High,-1.7216
16,AB,High,-1.6634
16,AB,High,-1.5214
16,AB,High,-1.5994
16,AB,High,-1.6448
16,AB,High,-1.6663
16,AB,High,-1.7036
16,AB,High,-1.5247
16,AB,High,-1.6487
16,AB,High,-1.5525
16,EP,High,-2.6051
16,EP,High,-2.7634
16,EP,High,-2.645
16,EP,High,-3.4767
16,EP,High,-3.0371
16,EP,High,-2.8051
16,EP,High,-3.5235
16,EP,High,-2.4504
16,EP,High,-2.4571
16,EP,High,-2.5966
16,TS,High,-2.4863
16,TS,High,-2.8305
16,TS,High,-3.3204
16,TS,High,-1.6829
16,TS,High,-1.8276
16,TS,High,-2.6685
16,TS,High,-2.2578
16,TS,High,-3.1098
16,TS,High,-3.9379
16,TS,High,-3.0049
16,JS,High,-2.8181
16,JS,High,-4.2761
16,JS,High,-1.6791
16,JS,High,-2.6297
16,JS,High,-2.9329
16,JS,High,-1.8106
16,JS,High,-1.981
16,JS,High,-1.9115
16,JS,High,-2.4605
16,JS,High,-2.6218
